item_type,branch_id,item_principal,item_division,item_code,item_purchase_code,supp_item_code,item_category,item_desciption,item_uom,item_brand_make,item_price,item_discount,item_cost_price,item_selling_price,margin_percent,item_hsn,item_dept_purchase,item_max_qty
2,"1,2,3",1,291,STMT98109-1,STMT98109-1,STMT98109-1,743,142PC MAINTENANCE TOOLS IN CASE,2,12,27850,45,15317.5,25065,0,182,1,1
2,"1,2,3",1,291,94-181,94-181,94-181,743,150PC MASTER TOOL SET,2,12,25289,45,13908.95,22760.1,0,176,1,1
2,"1,2,3",1,291,99-059,99-059,99-059,743,132PC METRIC & A/F TOOL KIT,2,12,22207,45,12213.85,19986.3,0,507,1,1
2,"1,2,3",1,291,DWMT81534-1,DWMT81534-1,DWMT81534-1,743,205PC 14/38/12DR SOCKET SET (MM),2,32,21864,45,12025.2,19677.6,0,179,1,1
2,"1,2,3",1,291,FMMT98107-1,FMMT98107-1,FMMT98107-1,743,126PC 3-DRAWER TOOL BOX ,2,12,21327,45,11729.85,19194.3,0,182,1,1
2,"1,2,3",1,291,89-883-23U,89-883-23U,89-883-23U,743,53PC Telecommunication Tool Set,2,12,18440,45,10142,16596,0,183,1,1
2,"1,2,3",1,291,HONDA TL-KIT,HONDA TL-KIT,HONDA TL-KIT,747,HONDA TOOL KIT,2,12,18633,45,10248.15,16769.7,0,507,1,1
2,"1,2,3",1,291,R99-150LA,R99-150LA,R99-150LA,743,150PC RACING MECH TOOLS SET,2,12,29343,45,16138.65,26408.7,0,176,1,1
2,"1,2,3",1,291,91-931,91-931,91-931,743,120PC MASTER TOOL SET,2,12,16615,45,9138.25,14953.5,0,183,1,1
2,"1,2,3",1,291,STMT81243,STMT81243,STMT81243,743,110PC MULTI TOOL SET,2,12,12872,45,7079.6,11584.8,0,177,1,1
2,"1,2,3",1,291,BMT154C,BMT154C,BMT154C,743,154 PC HAND TOOL KIT ,2,33,4330,45,2381.5,3897,0,422,1,1
