item_type,branch_id,item_principal,item_division,item_code,item_purchase_code,supp_item_code,item_category,item_desciption,item_uom,item_brand_make,item_price,item_discount,item_cost_price,item_selling_price,margin_percent,item_hsn,item_dept_purchase,item_max_qty
2,"1,2,3",1,295,TGT-SSD-1/2X11,TGT-SSD-1/2X11,TGT-SSD-1/2X11,798,SOCKETS - 11mm (1/2) SQUARE DRIVE : Flank Drive,2,13,73,45,40.15,80.3,10,179,1,1
2,"1,2,3",1,295,TGT-SSD-1/2X15,TGT-SSD-1/2X15,TGT-SSD-1/2X15,798,SOCKETS - 15mm (1/2) SQUARE DRIVE : Flank Drive,2,13,75,45,41.25,82.5,10,179,1,1
2,"1,2,3",1,295,TGT-SSD-1/2X16,TGT-SSD-1/2X16,TGT-SSD-1/2X16,798,SOCKETS - 16mm (1/2) SQUARE DRIVE : Flank Drive,2,13,75,45,41.25,82.5,10,179,1,1
2,"1,2,3",1,295,TGT-SSD-1/2X18,TGT-SSD-1/2X18,TGT-SSD-1/2X18,798,SOCKETS - 18mm (1/2) SQUARE DRIVE : Flank Drive,2,13,83,45,45.65,91.3,10,179,1,1
2,"1,2,3",1,295,TGT-SSD-1/2X19,TGT-SSD-1/2X19,TGT-SSD-1/2X19,798,SOCKETS - 19mm (1/2) SQUARE DRIVE : Flank Drive,2,13,83,45,45.65,91.3,10,179,1,1
2,"1,2,3",1,295,TGT-SSD-1/2X30,TGT-SSD-1/2X30,TGT-SSD-1/2X30,798,SOCKETS - 30mm (1/2) SQUARE DRIVE : Flank Drive,2,13,188,45,103.4,206.8,10,179,1,1
2,"1,2,3",1,295,TGT-SSD-1/2X32,TGT-SSD-1/2X32,TGT-SSD-1/2X32,798,SOCKETS - 32mm (1/2) SQUARE DRIVE : Flank Drive,2,13,190,45,104.5,209,10,179,1,1
2,"1,2,3",1,303,TGT-A/C-CH,TGT-A/C-CH,TGT-A/C-CH,799,A/C CHARGING HOSE,2,36,3601,0,3601,4321.2,20,179,1,1
2,"1,2,3",1,296,TGT-BW-10,TGT-BW-10,TGT-BW-10,696,COMBINATION SPANNERS (CHROME PLATED)10,2,13,41,45,22.55,45.1,10,176,1,1
2,"1,2,3",1,296,TGT-BW-13,TGT-BW-13,TGT-BW-13,696,COMBINATION SPANNERS (CHROME PLATED)13,2,13,47,45,25.85,51.7,10,176,1,1
2,"1,2,3",1,296,TGT-BW-14,TGT-BW-14,TGT-BW-14,696,COMBINATION SPANNERS (CHROME PLATED)14,2,13,58,45,31.9,63.8,10,176,1,1
2,"1,2,3",1,304,GA-FG-26B,GA-FG-26B,GA-FG-26B,800,FEELER GAUGE 26 BLADE  ,2,13,200,45,110,220,10,212,1,1
2,"1,2,3",1,305,TGT-P-LP-1641-5,TGT-P-LP-1641-5,TGT-P-LP-1641-5,801,LOCKING PLIERS 1641-5,2,13,366,45,201.3,402.6,10,175,1,1
2,"1,2,3",1,305,TGT-P-LP-1643,TGT-P-LP-1643,TGT-P-LP-1643,802,LOCKING PLIERS 1643,2,13,617,45,339.35,678.7,10,175,1,1
