item_type,branch_id,item_principal,item_division,item_code,item_purchase_code,supp_item_code,item_category,item_desciption,item_uom,item_brand_make,item_price,item_discount,item_cost_price,item_selling_price,margin_percent,item_hsn,item_dept_sales,item_dept_purchase
2,"1,2,3",1,303,TGT-DES-18-19,TGT-DES-18-19,TGT-DES-18-19,815,DOUBLE ENDED OPEN JAW SPANNERS - GENERAL PURPOSE (CHROME PLATED)18X19,2,13,67,10,60.3,67,0,176,1,1
2,"1,2,3",1,303,TGT-DES-20-22,TGT-DES-20-22,TGT-DES-20-22,815,DOUBLE ENDED OPEN JAW SPANNERS - GENERAL PURPOSE (CHROME PLATED)20X22,2,13,83,10,74.7,83,0,176,1,1
2,"1,2,3",1,303,TGT-RS-6X7,TGT-RS-6X7,TGT-RS-6X7,762,RING SPANNERS (CHROME PLATED)6X7,2,13,61,10,54.9,61,0,176,1,1
2,"1,2,3",1,303,TGT-RS-20-22,TGT-RS-20-22,TGT-RS-20-22,762,RING SPANNERS (CHROME PLATED)20X22,2,13,177,10,159.3,177,0,176,1,1
2,"1,2,3",1,303,TGT-BW-8,TGT-BW-8,TGT-BW-8,696,COMBINATION SPANNERS (CHROME PLATED)8,2,13,37,10,33.3,37,0,176,1,1
2,"1,2,3",1,303,TGT-BW-9,TGT-BW-9,TGT-BW-9,696,COMBINATION SPANNERS (CHROME PLATED)9,2,13,37,10,33.3,37,0,176,1,1
2,"1,2,3",1,303,TGT-BW-11,TGT-BW-11,TGT-BW-11,696,COMBINATION SPANNERS (CHROME PLATED)11,2,13,42,10,37.8,42,0,176,1,1
2,"1,2,3",1,303,TGT-BW-12,TGT-BW-12,TGT-BW-12,696,COMBINATION SPANNERS (CHROME PLATED)12,2,13,43,10,38.7,43,0,176,1,1
2,"1,2,3",1,303,TGT-BW-15,TGT-BW-15,TGT-BW-15,696,COMBINATION SPANNERS (CHROME PLATED)15,2,13,61,10,54.9,61,0,176,1,1
2,"1,2,3",1,303,TGT-BW-17,TGT-BW-17,TGT-BW-17,696,COMBINATION SPANNERS (CHROME PLATED)17,2,13,71,10,63.9,71,0,176,1,1
2,"1,2,3",1,303,TGT-BW-18,TGT-BW-18,TGT-BW-18,696,COMBINATION SPANNERS (CHROME PLATED)18,2,13,87,10,78.3,87,0,176,1,1
2,"1,2,3",1,303,TGT-BW-21,TGT-BW-21,TGT-BW-21,696,COMBINATION SPANNERS (CHROME PLATED)21,2,13,121,10,108.9,121,0,176,1,1
2,"1,2,3",1,303,TGT-SSD-1/2X8,TGT-SSD-1/2X8,TGT-SSD-1/2X8,798,SOCKETS - 8mm (1/2) SQUARE DRIVE : Flank Drive,2,13,73,10,65.7,73,0,179,1,1
2,"1,2,3",1,303,TGT-SSD-1/2X21,TGT-SSD-1/2X21,TGT-SSD-1/2X21,798,SOCKETS - 21mm (1/2) SQUARE DRIVE : Flank Drive,2,13,94,10,84.6,94,0,179,1,1
2,"1,2,3",1,303,TGT-LDS-1/2-19,TGT-LDS-1/2-19,TGT-LDS-1/2-19,833,DEEP SOCKETS - 19mm (1/2) SQUARE DRIVE,2,13,176,10,158.4,176,0,179,1,1
2,"1,2,3",1,303,TGT-LDS-1/2-21,TGT-LDS-1/2-21,TGT-LDS-1/2-21,833,DEEP SOCKETS - 21mm (1/2) SQUARE DRIVE,2,13,194,10,174.6,194,0,179,1,1
2,"1,2,3",1,303,TGT-LDS-1/2-22,TGT-LDS-1/2-22,TGT-LDS-1/2-22,833,DEEP SOCKETS - 22mm (1/2) SQUARE DRIVE,2,13,223,10,200.7,223,0,179,1,1
2,"1,2,3",1,303,TGT-LDS-1/2-24,TGT-LDS-1/2-24,TGT-LDS-1/2-24,833,DEEP SOCKETS - 24mm (1/2) SQUARE DRIVE,2,13,242,10,217.8,242,0,179,1,1
2,"1,2,3",1,303,TGT-LDS-1/2-27,TGT-LDS-1/2-27,TGT-LDS-1/2-27,833,DEEP SOCKETS - 27mm (1/2) SQUARE DRIVE,2,13,308,10,277.2,308,0,179,1,1
2,"1,2,3",1,303,TGT-TS-13-P,TGT-TS-13-P,TGT-TS-13-P,834,T SOCKET WRENCHES 13MM,2,13,212,10,190.8,212,0,179,1,1
2,"1,2,3",1,303,TGT-TS-11-P,TGT-TS-11-P,TGT-TS-11-P,835,T SOCKET WRENCHES 11MM,2,13,209,10,188.1,209,0,179,1,1
2,"1,2,3",1,303,TGT-TS-14-P,TGT-TS-14-P,TGT-TS-14-P,836,T SOCKET WRENCHES 14MM,2,13,214,10,192.6,214,0,179,1,1
2,"1,2,3",1,303,TGT-TS-9-P,TGT-TS-9-P,TGT-TS-9-P,837,T SOCKET WRENCHES 9MM,2,13,200,10,180,200,0,179,1,1
2,"1,2,3",1,303,TGT-EB-50-1713,TGT-EB-50-1713,TGT-EB-50-1713,838,Extension Bar-50,2,13,138,10,124.2,138,0,179,1,1
2,"1,2,3",1,303,TGT-EB-250-1763,TGT-EB-250-1763,TGT-EB-250-1763,838,Extension Bar-250,2,13,305,10,274.5,305,0,179,1,1
2,"1,2,3",1,303,TGT-SD-922,TGT-SD-922,TGT-SD-922,185,FLAT SCREW DRIVER 922,2,13,63,10,56.7,63,0,181,1,1
